ideCadastro,codOrcamento,condicao,matricula,idParlamentar,nome,nomeParlamentar,urlFoto,sexo,uf,partido,gabinete,anexo,fone,email,comissoes/titular,comissoes/suplente
141472,2538,Titular,384,5830307,JOSÉ RICARDO ALVARENGA TRIPOLI,RICARDO TRIPOLI,http://www.camara.gov.br/internet/deputado/bandep/141472.jpg,masculino,SP,PSDB,241,4,3215-5241,dep.ricardotripoli@camara.gov.br,,
141429,2448,Titular,120,5830330,FELIPE CATALÃO MAIA,FELIPE MAIA,http://www.camara.gov.br/internet/deputado/bandep/141429.jpg,masculino,RN,DEM,528,4,3215-5528,dep.felipemaia@camara.gov.br,,
160663,2844,Titular,456,5830499,LEOPOLDO COSTA MEYER,LEOPOLDO MEYER,http://www.camara.gov.br/internet/deputado/bandep/160663.jpg,masculino,PR,PSB,233,4,3215-5233,dep.leopoldomeyer@camara.gov.br,,
178919,3726,Titular,152,5830476,MARINALDO ROSENDO DE ALBUQUERQUE,MARINALDO ROSENDO,http://www.camara.gov.br/internet/deputado/bandep/178919.jpg,masculino,PE,PSB,827,4,3215-5827,dep.marinaldorosendo@camara.gov.br,,
73553,1818,Titular,381,5830353,NELSON MARQUEZELLI,NELSON MARQUEZELLI,http://www.camara.gov.br/internet/deputado/bandep/73553.jpg,masculino,SP,PTB,920,4,3215-5920,dep.nelsonmarquezelli@camara.gov.br,,
160758,2756,Titular,233,5830599,DOMINGOS SÁVIO CAMPOS RESENDE,DOMINGOS SÁVIO,http://www.camara.gov.br/internet/deputado/bandep/160758.jpg,masculino,MG,PSDB,345,4,3215-5345,dep.domingossavio@camara.gov.br,,
178998,3743,Titular,258,5830376,TANIA RAQUEL DE QUEIROZ MUNIZ,RAQUEL MUNIZ,http://www.camara.gov.br/internet/deputado/bandep/178998.jpg,feminino,MG,PSD,444,4,3215-5444,dep.raquelmuniz@camara.gov.br,,
178905,3101,Titular,403,5830459,FABIO PAULINO GARCIA,FABIO GARCIA,http://www.camara.gov.br/internet/deputado/bandep/178905.jpg,masculino,MT,PSB,278,3,3215-5278,dep.fabiogarcia@camara.gov.br,,
137070,3775,Titular,66,5830708,VICENTE ALVES DE OLIVEIRA JUNIOR,VICENTINHO JÚNIOR,http://www.camara.gov.br/internet/deputado/bandep/137070.jpg,masculino,TO,PR,817,4,3215-5817,dep.vicentinhojunior@camara.gov.br,,
178882,3046,Titular,72,5830768,ANDRE LUIZ CARVALHO RIBEIRO,ANDRÉ FUFUCA,http://www.camara.gov.br/internet/deputado/bandep/178882.jpg,masculino,MA,PP,945,4,3215-5945,dep.andrefufuca@camara.gov.br,,
178825,3703,Titular,57,5830505,LEONARDO CUNHA DE BRITO,LEO DE BRITO,http://www.camara.gov.br/internet/deputado/bandep/178825.jpg,masculino,AC,PT,619,4,3215-5619,dep.leodebrito@camara.gov.br,,
160617,2835,Titular,424,5830754,THIAGO MELLO PEIXOTO DA SILVEIRA,THIAGO PEIXOTO,http://www.camara.gov.br/internet/deputado/bandep/160617.jpg,masculino,GO,PSD,941,4,3215-5941,dep.thiagopeixoto@camara.gov.br,,
160527,2711,Titular,129,5830568,AGUINALDO VELLOSO BORGES RIBEIRO,AGUINALDO RIBEIRO,http://www.camara.gov.br/internet/deputado/bandep/160527.jpg,masculino,PB,PP,735,4,3215-5735,dep.aguinaldoribeiro@camara.gov.br,,
178930,3095,Titular,452,5830516,EVANDRO ROGERIO ROMAN,EVANDRO ROMAN,http://www.camara.gov.br/internet/deputado/bandep/178930.jpg,masculino,PR,PSD,303,4,3215-5303,dep.evandroroman@camara.gov.br,,
141413,2570,Titular,475,5830313,DÉCIO NERY DE LIMA,DÉCIO LIMA,http://www.camara.gov.br/internet/deputado/bandep/141413.jpg,masculino,SC,PT,218,4,3215-5218,dep.deciolima@camara.gov.br,,
160508,2871,Titular,182,5830319,AFONSO BANDEIRA FLORENCE,AFONSO FLORENCE,http://www.camara.gov.br/internet/deputado/bandep/160508.jpg,masculino,BA,PT,305,4,3215-5305,dep.afonsoflorence@camara.gov.br,,
178945,3756,Titular,325,5830662,ROSANGELA DE SOUZA GOMES,ROSANGELA GOMES,http://www.camara.gov.br/internet/deputado/bandep/178945.jpg,feminino,RJ,PRB,438,4,3215-5438,dep.rosangelagomes@camara.gov.br,,
141405,2569,Titular,472,5830413,CELSO MALDANER,CELSO MALDANER,http://www.camara.gov.br/internet/deputado/bandep/141405.jpg,masculino,SC,PMDB,311,4,3215-5311,dep.celsomaldaner@camara.gov.br,,
74235,3446,Titular,281,5830562,MARCUS ANTÔNIO VICENTE,MARCUS VICENTE,http://www.camara.gov.br/internet/deputado/bandep/74235.jpg,masculino,ES,PP,360,4,3215-5360,dep.marcusvicente@camara.gov.br,,
178968,3034,Titular,175,5830370,ADELSON BARRETO DOS SANTOS,ADELSON BARRETO,http://www.camara.gov.br/internet/deputado/bandep/178968.jpg,masculino,SE,PR,937,4,3215-5937,dep.adelsonbarreto@camara.gov.br,,
141555,2517,Titular,397,5830631,VINICIUS RAPOZO DE CARVALHO,VINICIUS CARVALHO,http://www.camara.gov.br/internet/deputado/bandep/141555.jpg,masculino,SP,PRB,356,4,3215-5356,dep.viniciuscarvalho@camara.gov.br,,
178878,3257,Titular,429,5830559,GIUSEPPE VECCI,GIUSEPPE VECCI,http://www.camara.gov.br/internet/deputado/bandep/178878.jpg,masculino,GO,PSDB,383,3,3215-5383,dep.giuseppevecci@camara.gov.br,,
160672,2784,Titular,307,5830725,JEAN WYLLYS DE MATOS SANTOS,JEAN WYLLYS,http://www.camara.gov.br/internet/deputado/bandep/160672.jpg,masculino,RJ,PSOL,646,4,3215-5646,dep.jeanwyllys@camara.gov.br,,
141529,2470,Titular,211,5830608,ROBERTO PEREIRA DE BRITTO,ROBERTO BRITTO,http://www.camara.gov.br/internet/deputado/bandep/141529.jpg,masculino,BA,PP,733,4,3215-5733,dep.robertobritto@camara.gov.br,,
160612,2789,Titular,320,5830774,SERGIO ZVEITER,SERGIO ZVEITER,http://www.camara.gov.br/internet/deputado/bandep/160612.jpg,masculino,RJ,PMDB,437,4,3215-5437,dep.sergiozveiter@camara.gov.br,,
178952,3779,Titular,125,5830419,WALTER PEREIRA ALVES,WALTER ALVES,http://www.camara.gov.br/internet/deputado/bandep/178952.jpg,masculino,RN,PMDB,435,4,3215-5435,dep.walteralves@camara.gov.br,,
178937,3042,Titular,286,5830582,ALTINEU CÔRTES FREITAS COUTINHO,ALTINEU CÔRTES,http://www.camara.gov.br/internet/deputado/bandep/178937.jpg,masculino,RJ,PMDB,578,3,3215-5578,dep.altineucortes@camara.gov.br,,
178970,3691,Titular,179,5830751,JOAO SOMARIVA DANIEL,JOÃO DANIEL,http://www.camara.gov.br/internet/deputado/bandep/178970.jpg,masculino,SE,PT,605,4,3215-5605,dep.joaodaniel@camara.gov.br,,
178971,3693,Titular,181,5830396,JONY MARCOS DE SOUZA ARAUJO,JONY MARCOS,http://www.camara.gov.br/internet/deputado/bandep/178971.jpg,masculino,SE,PRB,807,4,3215-5807,dep.jonymarcos@camara.gov.br,,
160535,2867,Titular,507,5830794,DIONILSO MATEUS MARCON,MARCON,http://www.camara.gov.br/internet/deputado/bandep/160535.jpg,masculino,RS,PT,569,3,3215-5569,dep.marcon@camara.gov.br,,
73768,3176,Titular,444,5830651,DILCEU JOÃO SPERAFICO,DILCEU SPERAFICO,http://www.camara.gov.br/internet/deputado/bandep/73768.jpg,masculino,PR,PP,746,4,3215-5746,dep.dilceusperafico@camara.gov.br,,
178904,3097,Titular,402,5830745,EZEQUIEL ANGELO FONSECA,EZEQUIEL FONSECA,http://www.camara.gov.br/internet/deputado/bandep/178904.jpg,masculino,MT,PP,658,4,3215-5658,dep.ezequielfonseca@camara.gov.br,,
74385,1970,Titular,469,5830674,HIDEKAZU TAKAYAMA,TAKAYAMA,http://www.camara.gov.br/internet/deputado/bandep/74385.jpg,masculino,PR,PSC,910,4,3215-5910,dep.takayama@camara.gov.br,,
141383,2519,Titular,333,5830625,ANTONIO CARLOS MARTINS DE BULHÕES,ANTONIO BULHÕES,http://www.camara.gov.br/internet/deputado/bandep/141383.jpg,masculino,SP,PRB,327,4,3215-5327,dep.antoniobulhoes@camara.gov.br,,
74283,1997,Titular,396,5830496,VICENTE PAULO DA SILVA,VICENTINHO,http://www.camara.gov.br/internet/deputado/bandep/74283.jpg,masculino,SP,PT,740,4,3215-5740,dep.vicentinho@camara.gov.br,,
73655,1479,Titular,411,5830433,AUGUSTO SILVEIRA DE CARVALHO,AUGUSTO CARVALHO,http://www.camara.gov.br/internet/deputado/bandep/73655.jpg,masculino,DF,SD,215,4,3215-5215,dep.augustocarvalho@camara.gov.br,,
178880,3721,Titular,432,5830445,MARCOS ABRAO RORIZ SOARES DE CARVALHO,MARCOS ABRÃO,http://www.camara.gov.br/internet/deputado/bandep/178880.jpg,masculino,GO,PPS,375,3,3215-5375,dep.marcosabrao@camara.gov.br,,
160591,2676,Titular,16,5830482,VINICIUS DE AZEVEDO GURGEL,VINICIUS GURGEL,http://www.camara.gov.br/internet/deputado/bandep/160591.jpg,masculino,AP,PR,852,4,3215-5852,dep.viniciusgurgel@camara.gov.br,,
93083,3061,Titular,193,5830296,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,CACÁ LEÃO,http://www.camara.gov.br/internet/deputado/bandep/93083.jpg,masculino,BA,PP,320,4,3215-5320,dep.cacaleao@camara.gov.br,,
178966,3235,Titular,482,5830539,GEOVANIA DE SA RODRIGUES,GEOVANIA DE SÁ,http://www.camara.gov.br/internet/deputado/bandep/178966.jpg,feminino,SC,PSDB,606,4,3215-5606,dep.geovaniadesa@camara.gov.br,,
141480,2429,Titular,63,5830290,LÁZARO BOTELHO MARTINS,LÁZARO BOTELHO,http://www.camara.gov.br/internet/deputado/bandep/141480.jpg,masculino,TO,PP,478,3,3215-5478,dep.lazarobotelho@camara.gov.br,,
160600,2739,Titular,192,5830788,ARTHUR DE OLIVEIRA MAIA DA SILVA,ARTHUR OLIVEIRA MAIA,http://www.camara.gov.br/internet/deputado/bandep/160600.jpg,masculino,BA,PPS,830,4,3215-5830,dep.arthuroliveiramaia@camara.gov.br,,
178874,3762,Titular,283,5830682,ANTONIO SERGIO ALVES VIDIGAL,SERGIO VIDIGAL,http://www.camara.gov.br/internet/deputado/bandep/178874.jpg,masculino,ES,PDT,812,4,3215-5812,dep.sergiovidigal@camara.gov.br,,
178840,3780,Titular,59,5830688,WHERLES FERNANDES DA ROCHA,ROCHA,http://www.camara.gov.br/internet/deputado/bandep/178840.jpg,masculino,AC,PSDB,607,4,3215-5607,dep.rocha@camara.gov.br,,
74655,3186,Titular,230,5830588,EDUARDO LUIZ BARROS BARBOSA,EDUARDO BARBOSA,http://www.camara.gov.br/internet/deputado/bandep/74655.jpg,masculino,MG,PSDB,540,4,3215-1540,dep.eduardobarbosa@camara.gov.br,,
74273,1581,Titular,349,5830439,JEFFERSON ALVES DE CAMPOS,JEFFERSON CAMPOS,http://www.camara.gov.br/internet/deputado/bandep/74273.jpg,masculino,SP,PSD,346,4,3215-5346,dep.jeffersoncampos@camara.gov.br,,
160637,2831,Titular,414,5830488,RONALDO FONSECA DE SOUZA,RONALDO FONSECA,http://www.camara.gov.br/internet/deputado/bandep/160637.jpg,masculino,DF,PROS,223,4,3215-5223,dep.ronaldofonseca@camara.gov.br,,
62881,2700,Titular,95,5830390,FRANCISCO DANILO BASTOS FORTE,DANILO FORTE,http://www.camara.gov.br/internet/deputado/bandep/62881.jpg,masculino,CE,PSB,384,3,3215-5384,dep.daniloforte@camara.gov.br,,
178835,3020,Titular,490,5830619,AFONSO ANTUNES DA MOTTA,AFONSO MOTTA,http://www.camara.gov.br/internet/deputado/bandep/178835.jpg,masculino,RS,PDT,711,4,3215-5711,dep.afonsomotta@camara.gov.br,,
160569,2751,Titular,219,5830548,WALDENOR ALVES PEREIRA FILHO,WALDENOR PEREIRA,http://www.camara.gov.br/internet/deputado/bandep/160569.jpg,masculino,BA,PT,954,4,3215-5954,dep.waldenorpereira@camara.gov.br,,
74090,1619,Titular,38,5830571,ÁTILA SIDNEY LINS ALBUQUERQUE,ÁTILA LINS,http://www.camara.gov.br/internet/deputado/bandep/74090.jpg,masculino,AM,PSD,730,4,3215-5730,dep.atilalins@camara.gov.br,,
178960,3745,Titular,7,5830333,REMIDIO MONAI MONTESSI,REMÍDIO MONAI,http://www.camara.gov.br/internet/deputado/bandep/178960.jpg,masculino,RR,PR,641,4,3215-5641,dep.remidiomonai@camara.gov.br,,
160589,2797,Titular,335,5830665,BRUNA DIAS FURLAN,BRUNA FURLAN,http://www.camara.gov.br/internet/deputado/bandep/160589.jpg,feminino,SP,PSDB,836,4,3215-5836,dep.brunafurlan@camara.gov.br,,
178870,3755,Titular,415,5830310,RÔNEY TANIOS NEMER,RÔNEY NEMER,http://www.camara.gov.br/internet/deputado/bandep/178870.jpg,masculino,DF,PP,572,3,3215-5572,dep.roneynemer@camara.gov.br,,
178958,3066,Titular,3,5830456,CARLOS AUGUSTO ANDRADE SILVA,CARLOS ANDRADE,http://www.camara.gov.br/internet/deputado/bandep/178958.jpg,masculino,RR,PHS,758,4,3215-5758,dep.carlosandrade@camara.gov.br,,
160601,2812,Titular,379,5830379,MARCO ANTÔNIO FELICIANO,PR. MARCO FELICIANO,http://www.camara.gov.br/internet/deputado/bandep/160601.jpg,masculino,SP,PSC,254,4,3215-5254,dep.pr.marcofeliciano@camara.gov.br,,
72912,3071,Titular,292,5830473,CELSO PANSERA,CELSO PANSERA,http://www.camara.gov.br/internet/deputado/bandep/72912.jpg,masculino,RJ,PMDB,475,3,3215-5475,dep.celsopansera@camara.gov.br,,
74160,1408,Titular,249,5830356,PATRUS ANANIAS DE SOUSA,PATRUS ANANIAS,http://www.camara.gov.br/internet/deputado/bandep/74160.jpg,masculino,MG,PT,720,4,3215-5720,dep.patrusananias@camara.gov.br,,
74317,1246,Titular,114,5830694,JÚLIO CÉSAR DE CARVALHO LIMA,JÚLIO CESAR,http://www.camara.gov.br/internet/deputado/bandep/74317.jpg,masculino,PI,PSD,944,4,3215-5944,dep.juliocesar@camara.gov.br,,
160655,2815,Titular,383,5830479,RICARDO IZAR JUNIOR,RICARDO IZAR,http://www.camara.gov.br/internet/deputado/bandep/160655.jpg,masculino,SP,PP,634,4,3215-5634,dep.ricardoizar@camara.gov.br,,
178922,3767,Titular,161,5830425,FRANCISCO TADEU BARBOSA DE ALENCAR,TADEU ALENCAR,http://www.camara.gov.br/internet/deputado/bandep/178922.jpg,masculino,PE,PSB,820,4,3215-5820,dep.tadeualencar@camara.gov.br,,
178910,3692,Titular,33,5830502,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,JOAQUIM PASSARINHO,http://www.camara.gov.br/internet/deputado/bandep/178910.jpg,masculino,PA,PSD,339,4,3215-5339,dep.joaquimpassarinho@camara.gov.br,,
74156,1403,Titular,253,5830402,JOSÉ LEONARDO COSTA MONTEIRO,LEONARDO MONTEIRO,http://www.camara.gov.br/internet/deputado/bandep/74156.jpg,masculino,MG,PT,922,4,3215-5922,dep.leonardomonteiro@camara.gov.br,,
141552,2550,Titular,404,5830648,VALTENIR LUIZ PEREIRA,VALTENIR PEREIRA,http://www.camara.gov.br/internet/deputado/bandep/141552.jpg,masculino,MT,PMDB,913,4,3215-5913,dep.valtenirpereira@camara.gov.br,,
160576,2690,Titular,64,5830525,CESAR HANNA HALUM,CÉSAR HALUM,http://www.camara.gov.br/internet/deputado/bandep/160576.jpg,masculino,TO,PRB,422,4,3215-5422,dep.cesarhalum@camara.gov.br,,
178881,3043,Titular,68,5830565,ALUISIO GUIMARAES MENDES FILHO,ALUISIO MENDES,http://www.camara.gov.br/internet/deputado/bandep/178881.jpg,masculino,MA,PODE,931,4,3215-5931,dep.aluisiomendes@camara.gov.br,,
73674,1478,Titular,427,5830602,ROBERTO EGÍDIO BALESTRA,ROBERTO BALESTRA,http://www.camara.gov.br/internet/deputado/bandep/73674.jpg,masculino,GO,PP,219,4,3215-5219,dep.robertobalestra@camara.gov.br,,
160578,2841,Titular,446,5830508,EDMAR DE SOUZA ARRUDA,EDMAR ARRUDA,http://www.camara.gov.br/internet/deputado/bandep/160578.jpg,masculino,PR,PSD,962,4,3215-5962,dep.edmararruda@camara.gov.br,,
64960,1124,Titular,6,5830765,MARIA HELENA VERONESE RODRIGUES,MARIA HELENA,http://www.camara.gov.br/internet/deputado/bandep/64960.jpg,feminino,RR,PSB,410,4,3215-5410,dep.mariahelena@camara.gov.br,,
141422,2449,Titular,128,5830519,EFRAIM DE ARAÚJO MORAIS FILHO,EFRAIM FILHO,http://www.camara.gov.br/internet/deputado/bandep/141422.jpg,masculino,PB,DEM,744,4,3215-5744,dep.efraimfilho@camara.gov.br,,
178892,3079,Titular,227,5830705,DAMINA DE CARVALHO PEREIRA,DÂMINA PEREIRA,http://www.camara.gov.br/internet/deputado/bandep/178892.jpg,feminino,MG,PSL,434,4,3215-5434,dep.daminapereira@camara.gov.br,,
74262,1527,Titular,338,5830711,CARLOS HENRIQUE FOCESI SAMPAIO,CARLOS SAMPAIO,http://www.camara.gov.br/internet/deputado/bandep/74262.jpg,masculino,SP,PSDB,207,4,3215-5207,dep.carlossampaio@camara.gov.br,,
74366,1955,Titular,418,5830462,JOÃO CAMPOS DE ARAÚJO,JOÃO CAMPOS,http://www.camara.gov.br/internet/deputado/bandep/74366.jpg,masculino,GO,PRB,315,4,3215-5315,dep.joaocampos@camara.gov.br,,
151208,2608,Titular,176,5830362,LAERCIO JOSÉ DE OLIVEIRA,LAERCIO OLIVEIRA,http://www.camara.gov.br/internet/deputado/bandep/151208.jpg,masculino,SE,SD,629,4,3215-5629,dep.laerciooliveira@camara.gov.br,,
178938,3058,Titular,289,5830757,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,http://www.camara.gov.br/internet/deputado/bandep/178938.jpg,masculino,RJ,PTdoB,803,4,3215-5803,dep.cabodaciolo@camara.gov.br,,
74570,3477,Titular,206,5830416,JUTAHY MAGALHÃES JÚNIOR,JUTAHY JUNIOR,http://www.camara.gov.br/internet/deputado/bandep/74570.jpg,masculino,BA,PSDB,407,4,3215-5407,dep.jutahyjunior@camara.gov.br,,
73778,1867,Titular,454,5830316,LUIZ CARLOS JORGE HAULY,LUIZ CARLOS HAULY,http://www.camara.gov.br/internet/deputado/bandep/73778.jpg,masculino,PR,PSDB,220,4,3215-5220,dep.luizcarloshauly@camara.gov.br,,
129037,2760,Titular,244,5830611,GABRIEL GUIMARÃES DE ANDRADE,GABRIEL GUIMARÃES,http://www.camara.gov.br/internet/deputado/bandep/129037.jpg,masculino,MG,PT,821,4,3215-5821,dep.gabrielguimaraes@camara.gov.br,,
178909,3339,Titular,32,5830299,HELIO LEITE DA SILVA,HÉLIO LEITE,http://www.camara.gov.br/internet/deputado/bandep/178909.jpg,masculino,PA,DEM,403,4,3215-5403,dep.helioleite@camara.gov.br,,
178841,3074,Titular,165,5830797,JOSÉ CÍCERO SOARES DE ALMEIDA,CÍCERO ALMEIDA,http://www.camara.gov.br/internet/deputado/bandep/178841.jpg,masculino,AL,PMDB,760,4,3215-5760,dep.ciceroalmeida@camara.gov.br,,
69871,3051,Titular,184,5830536,JOAO CARLOS BACELAR BATISTA,BACELAR,http://www.camara.gov.br/internet/deputado/bandep/69871.jpg,masculino,BA,PODE,381,3,3215-5381,dep.bacelar@camara.gov.br,,
160512,2778,Titular,290,5830465,AUREO LIDIO MOREIRA RIBEIRO,AUREO,http://www.camara.gov.br/internet/deputado/bandep/160512.jpg,masculino,RJ,SD,212,4,3215-5212,dep.aureo@camara.gov.br,,
171619,2975,Titular,237,5830442,MARIA MARGARIDA MARTINS SALOMÃO,MARGARIDA SALOMÃO,http://www.camara.gov.br/internet/deputado/bandep/171619.jpg,feminino,MG,PT,236,4,3215-5236,dep.margaridasalomao@camara.gov.br,,
141558,2435,Titular,84,5830393,WALDIR MARANHÃO CARDOSO,WALDIR MARANHÃO,http://www.camara.gov.br/internet/deputado/bandep/141558.jpg,masculino,MA,PP,5,1,3215-5975,dep.waldirmaranhao@camara.gov.br,,
178867,3711,Titular,104,5830605,JOSE MARIA MACEDO JUNIOR,MACEDO,http://www.camara.gov.br/internet/deputado/bandep/178867.jpg,masculino,CE,PP,214,4,3215-5214,dep.macedo@camara.gov.br,,
178849,3398,Titular,42,5830728,HISSA NAGIB ABRAHAO FILHO,HISSA ABRAHÃO,http://www.camara.gov.br/internet/deputado/bandep/178849.jpg,masculino,AM,PDT,272,3,3215-5272,dep.hissaabrahao@camara.gov.br,,
178875,3038,Titular,416,5830373,ALEXANDRE BALDY DE SANT'ANNA BRAGA,ALEXANDRE BALDY,http://www.camara.gov.br/internet/deputado/bandep/178875.jpg,masculino,GO,PODE,441,4,3215-5441,dep.alexandrebaldy@camara.gov.br,,
178903,3035,Titular,401,5830628,ADILTON DOMINGOS SACHETTI,ADILTON SACHETTI,http://www.camara.gov.br/internet/deputado/bandep/178903.jpg,masculino,MT,PSB,374,3,3215-5374,dep.adiltonsachetti@camara.gov.br,,
164359,2927,Titular,421,5830350,WALDIR SOARES DE OLIVEIRA,DELEGADO WALDIR,http://www.camara.gov.br/internet/deputado/bandep/164359.jpg,masculino,GO,PR,645,4,3215-5645,dep.delegadowaldir@camara.gov.br,,
178916,3080,Titular,144,5830748,DANIEL PIRES COELHO,DANIEL COELHO,http://www.camara.gov.br/internet/deputado/bandep/178916.jpg,masculino,PE,PSDB,813,4,3215-5813,dep.danielcoelho@camara.gov.br,,
178846,2637,Titular,36,5830771,ALFREDO PEREIRA DO NASCIMENTO,ALFREDO NASCIMENTO,http://www.camara.gov.br/internet/deputado/bandep/178846.jpg,masculino,AM,PR,401,4,3215-5401,dep.alfredonascimento@camara.gov.br,,
141401,2547,Titular,400,5830791,CARLOS GOMES BEZERRA,CARLOS BEZERRA,http://www.camara.gov.br/internet/deputado/bandep/141401.jpg,masculino,MT,PMDB,815,4,3215-5815,dep.carlosbezerra@camara.gov.br,,
73463,3650,Titular,463,5830293,OSMAR JOSÉ SERRAGLIO,OSMAR SERRAGLIO,http://www.camara.gov.br/internet/deputado/bandep/73463.jpg,masculino,PR,PMDB,845,4,3215-5845,dep.osmarserraglio@camara.gov.br,,
141507,2384,Titular,480,5830542,MAURO MARIANI,MAURO MARIANI,http://www.camara.gov.br/internet/deputado/bandep/141507.jpg,masculino,SC,PMDB,925,4,3215-5925,dep.mauromariani@camara.gov.br,,
178936,3040,Titular,285,5830436,ALEXANDRE VALLE CARDOSO,ALEXANDRE VALLE,http://www.camara.gov.br/internet/deputado/bandep/178936.jpg,masculino,RJ,PR,587,3,3215-5587,dep.alexandrevalle@camara.gov.br,,
141411,2170,Titular,434,5830399,DAGOBERTO NOGUEIRA FILHO,DAGOBERTO NOGUEIRA,http://www.camara.gov.br/internet/deputado/bandep/141411.jpg,masculino,MS,PDT,654,4,3215-5654,dep.dagobertonogueira@camara.gov.br,,
178972,3037,Titular,331,5830591,ALEX SPINELLI MANENTE,ALEX MANENTE,http://www.camara.gov.br/internet/deputado/bandep/178972.jpg,masculino,SP,PPS,245,4,3215-5245,dep.alexmanente@camara.gov.br,,
74553,1718,Titular,207,5830579,JOSÉ CARLOS ALELUIA COSTA,JOSÉ CARLOS ALELUIA,http://www.camara.gov.br/internet/deputado/bandep/74553.jpg,masculino,BA,DEM,854,4,3215-5854,dep.josecarlosaleluia@camara.gov.br,,
133373,2077,Titular,496,5830634,MARCO AURÉLIO SPALL MAIA,MARCO MAIA,http://www.camara.gov.br/internet/deputado/bandep/133373.jpg,masculino,RS,PT,28,1,3215-5964,dep.marcomaia@camara.gov.br,,
74371,1960,Titular,425,5830485,RUBENS OTONI GOMIDE,RUBENS OTONI,http://www.camara.gov.br/internet/deputado/bandep/74371.jpg,masculino,GO,PT,501,4,3215-5501,dep.rubensotoni@camara.gov.br,,
